Tarih,TP_DK_USD_S_YTL
2017-12-09,
2017-12-10,
2017-12-11,3.8616
2017-12-12,3.8344
2017-12-13,3.8346
2017-12-14,3.8459
2017-12-15,3.8392
2017-12-16,
2017-12-17,
2017-12-18,3.866
2017-12-19,3.8576
2017-12-20,3.8418
2017-12-21,3.8411
2017-12-22,3.8292
2017-12-23,
2017-12-24,
2017-12-25,3.8182
2017-12-26,3.8156
2017-12-27,3.8097
2017-12-28,3.8265
2017-12-29,3.8173
2017-12-30,
2017-12-31,
2018-01-01,
2018-01-02,3.7787
2018-01-03,3.7719
2018-01-04,3.7685
2018-01-05,3.7668
2018-01-06,
2018-01-07,
2018-01-08,3.7523
2018-01-09,3.7521
2018-01-10,3.7621
2018-01-11,3.7912
2018-01-12,3.7988
2018-01-13,
2018-01-14,
2018-01-15,3.769
2018-01-16,3.7661
2018-01-17,3.8219
2018-01-18,3.8212
2018-01-19,3.8036
2018-01-20,
2018-01-21,
2018-01-22,3.7845
2018-01-23,3.8167
2018-01-24,3.7942
2018-01-25,3.7625
2018-01-26,3.7489
2018-01-27,
2018-01-28,
2018-01-29,3.7438
2018-01-30,3.7796
2018-01-31,3.7863
2018-02-01,3.7608
2018-02-02,3.7635
2018-02-03,
2018-02-04,
2018-02-05,3.7521
2018-02-06,3.77
2018-02-07,3.7854
2018-02-08,3.7782
2018-02-09,3.8142
2018-02-10,
2018-02-11,
2018-02-12,3.8188
2018-02-13,3.8137
2018-02-14,3.8031
2018-02-15,3.8041
2018-02-16,3.7789
2018-02-17,
2018-02-18,
2018-02-19,3.7591
2018-02-20,3.7599
2018-02-21,3.7766
2018-02-22,3.7913
2018-02-23,3.8062
2018-02-24,
2018-02-25,
2018-02-26,3.7884
2018-02-27,3.7822
2018-02-28,3.7901
2018-03-01,3.8065
2018-03-02,3.815
2018-03-03,
2018-03-04,
2018-03-05,3.8106
2018-03-06,3.823
2018-03-07,3.8069
2018-03-08,3.8039
2018-03-09,3.8157
2018-03-10,
2018-03-11,
2018-03-12,3.8233
2018-03-13,3.8219
2018-03-14,3.8629
2018-03-15,3.8667
2018-03-16,3.8945
2018-03-17,
2018-03-18,
2018-03-19,3.911
2018-03-20,3.9433
2018-03-21,3.9427
2018-03-22,3.9347
2018-03-23,3.9157
2018-03-24,
2018-03-25,
2018-03-26,3.9679
2018-03-27,3.9814
2018-03-28,3.9829
2018-03-29,4.0002
2018-03-30,4.0021
2018-03-31,
2018-04-01,
2018-04-02,3.956
2018-04-03,3.9648
2018-04-04,3.9832
2018-04-05,4.0148
2018-04-06,4.0342
2018-04-07,
2018-04-08,
2018-04-09,4.06
2018-04-10,4.0634
2018-04-11,4.078
2018-04-12,4.1528
2018-04-13,4.1358
2018-04-14,
2018-04-15,
2018-04-16,4.0859
2018-04-17,4.1034
2018-04-18,4.1054
2018-04-19,4.1038
2018-04-20,4.0345
2018-04-21,
2018-04-22,
2018-04-23,
2018-04-24,4.0405
2018-04-25,4.0922
2018-04-26,4.0832
2018-04-27,4.0742
2018-04-28,
2018-04-29,
2018-04-30,4.0608
2018-05-01,
2018-05-02,4.0472
2018-05-03,4.1282
2018-05-04,4.1984
2018-05-05,
2018-05-06,
2018-05-07,4.2626
2018-05-08,4.2635
2018-05-09,4.2894
2018-05-10,4.2955
2018-05-11,4.2743
2018-05-12,
2018-05-13,
2018-05-14,4.2648
2018-05-15,4.3278
2018-05-16,4.4024
2018-05-17,4.4662
2018-05-18,4.4482
2018-05-19,
2018-05-20,
2018-05-21,4.4732
2018-05-22,4.5616
2018-05-23,4.5863
2018-05-24,4.8551
2018-05-25,4.7112
2018-05-26,
2018-05-27,
2018-05-28,4.7292
2018-05-29,4.6048
2018-05-30,4.6045
2018-05-31,4.4914
2018-06-01,4.4889
2018-06-02,
2018-06-03,
2018-06-04,4.6005
2018-06-05,4.6367
2018-06-06,4.6156
2018-06-07,4.6178
2018-06-08,4.5571
2018-06-09,
2018-06-10,
2018-06-11,4.5105
2018-06-12,4.5217
2018-06-13,4.5573
2018-06-14,4.6568
2018-06-15,
2018-06-16,
2018-06-17,
2018-06-18,4.6568
2018-06-19,4.7236
2018-06-20,4.763
2018-06-21,4.7573
2018-06-22,4.7609
2018-06-23,
2018-06-24,
2018-06-25,4.7162
2018-06-26,4.648
2018-06-27,4.6824
2018-06-28,4.6433
2018-06-29,4.6166
2018-06-30,
2018-07-01,
2018-07-02,4.569
2018-07-03,4.6308
2018-07-04,4.6644
2018-07-05,4.7071
2018-07-06,4.651
2018-07-07,
2018-07-08,
2018-07-09,4.6087
2018-07-10,4.5385
2018-07-11,4.7134
2018-07-12,4.7574
2018-07-13,4.8263
2018-07-14,
2018-07-15,
2018-07-16,4.8507
2018-07-17,4.8444
2018-07-18,4.8452
2018-07-19,4.7994
2018-07-20,4.8317
2018-07-21,
2018-07-22,
2018-07-23,4.8086
